#  24 August 2021     Arrin, Callsign: KN1E      International (Basic)  V0.1   0Hz to 2.5GHz (All Allocations) (ARRL BPs till 20m) |   Free to use for those who want to expand their knowledge of the radio spectrum.
#                                                There is a list of contents, reference, color legend, explanation on how you can customize this file, and my comments about this file, after all of the allocations.
#
#                                                Quick Author's Note: It is an absolute pain to try and compile a list that every country can agree on, so I went with what I thought would likely be the best choice.
#                                                I live in the US so I have no experience or familiarity with frequencies other than those in the US, so it's within reason that I will make mistakes/ seemingly unfounded choices.

# minFrequency, maxFrequency, mode, step, color, name
0, 8300, CW, 1, #40FFFFFF, Unallocated
8300, 14000, CW, 1, #5500C9C9, Radionavigation/ Lightning Detection Systems
14000, 19650, CW, 1, #40BAFD00, Power Line Carrier (PLC) Communications
19650, 19950, CW, 1, #5580C0C0, NWC (AU)
19950, 20050, AM, 1, #44FF00FF, 20KHz Time Signal
20050, 21250, CW, 1, #40BAFD00, Power Line Carrier (PLC)
21250, 21550, CW, 1, #5580C0C0, NPM (US)
21550, 24650, CW, 1, #40BAFD00, Power Line Carrier (PLC)
24650, 24950, CW, 1, #5580C0C0, NLK (US)(Jim Creek)
24950, 25050, CW, 1, #40BAFD00, Power Line Carrier (PLC)
25050, 25350, CW, 1, #5580C0C0, NML (US)
25350, 26750, CW, 1, #40BAFD00, Power Line Carrier (PLC)
26750, 27050, CW, 1, #5580C0C0, NOV (US)
27050, 37850, CW, 1, #40BAFD00, Power Line Carrier (PLC)
37850, 38150, CW, 1, #5580C0C0, SHR (SE)
38150, 39950, CW, 1, #40BAFD00, Power Line Carrier (PLC)
39950, 40050, CW, 1, #44FF00FF, JJY-40 (JP)
40050, 40250, CW, 1, #40BAFD00, Power Line Carrier (PLC)
40250, 40550, CW, 1, #5580C0C0, SAS/SRC (SE)
40550, 42350, CW, 1, #40BAFD00, Power Line Carrier (PLC)
42350, 42650, CW, 1, #5580C0C0, SAS2 (SE)
42650, 44050, CW, 1, #40BAFD00, Power Line Carrier (PLC)
44050, 44350, CW, 1, #5580C0C0, SAS3 (SE)
44350, 59500, CW, 1, #40BAFD00, Power Line Carrier (PLC)
59500, 60500, AM, 1, #44FF00FF, WWVB NIST
60500, 66335, CW, 1, #40BAFD00, Power Line Carrier (PLC)
66335, 66985, CW, 1, #44FF00FF, RBU (RU)
66985, 68350, CW, 1, #40BAFD00, Power Line Carrier (PLC)
68350, 68650, CW, 1, #44FF00FF, BPC (CN)
68650, 76850, CW, 1, #40BAFD00, Power Line Carrier (PLC)
76850, 78150, CW, 1, #44FF00FF, DCF77 (DE)
78150, 80850, CW, 1, #40BAFD00, Power Line Carrier (PLC)
80850, 81150, CW, 1, #5580C0C0, GYN2 GBR (UK)
81150, 135700, CW, 1, #55008080, Radiolocation
135700, 136000, USB, 10, #50FF0000, 2200m Ham Band|  Tests, Transatlantic Window 
136000, 137400, USB, 10, #50E9E9E9, 2200m Telegraphy
137400, 137600, USB, 10, #500000FF, Digital
137600, 137800, USB, 10, #50E9E9E9, Slow Telegraphy   |2200m Ham Band
137800, 148500, USB, 10, #55008080, Maritime Mobile Service
148500, 160000, AM, 10, #505347FF, Long Wave
160000, 161850, CW, 10, #50FF44AA, 1750m (LowFER) and Long Wave
161850, 162150, CW, 10, #44FF00FF, TDF (FR)
162150, 190000, CW, 10, #50FF44AA, 1750m (LowFER) and Long Wave
190000, 196500, AM, 10, #505347FF, Long Wave
196500, 199500, AM, 1, #5580C0C0, BBC Radio 4
199500, 283500, AM, 10, #505347FF, Long Wave
283500, 472000, CW, 1, #55008080, Radionavigation
472000, 479000, CW, 10, #50FF0000, 630m Ham Band
479000, 525000, USB, 10, #55008080, Maritime Mobile/ Aeronautical Radionavigation/ RFID
525000, 535000, AM, 10, #505D63FF, Medium Wave (212m)
535000, 1705000, AM, 10, #33FF0000, AM Radio
1705000, 1800000, USB, 10, #55008080, Radiolocation Beacons
1800000, 1810000, LSB, 10, #508000FF, 160m Ham	Band|  Digital
1810000, 1843000, CW, 10, #50FF0000, 160m
1843000, 1995000, LSB, 10, #50FF0000, 160m, SSB, SSTV
1995000, 2000000, CW, 10, #503CCCFF, Experimental, Beacons  |160m Ham Band
2000000, 2025000, USB, 10, #55008080, Maritime Mobile
2025000, 2045000, USB, 10, #5500C9C9, Oceanographic Buoys
2045000, 2173500, USB, 10, #55008080, Maritime Mobile
2173500, 2190500, USB, 10, #50FF0091, Distress and Calling for Maritime and Aeronautical 
